experiment,baseline_experiment,feature_set,is_prime_signal,n_external_cohorts,external_depth_percent,pairwise_metric_coverage_percent,auc_roc_supported_rate_percent,auc_pr_supported_rate_percent,auc_roc_positive_rate_percent,auc_pr_positive_rate_percent,cross_metric_supported_rate_percent,cross_metric_positive_rate_percent,cross_metric_no_regression_rate_percent,cross_metric_loss_rate_percent,head_to_head_coverage_percent,head_to_head_win_rate_percent,head_to_head_no_regression_rate_percent,head_to_head_substantial_loss_rate_percent,mean_delta_auc_roc,mean_delta_auc_pr,mean_head_to_head_delta,claim_strength_percent,claim_tier
hybrid_plus_external,external_predictors_only,hybrid_plus_external,True,1,25,100,0,0,0,0,0,0,100,0,100,0,67,33,0.0,0.0,-0.3333333333333333,37,insufficient
consensus_top3,external_predictors_only,consensus_top3,False,1,25,100,0,0,0,0,0,0,100,0,100,0,67,33,0.0,0.0,-0.3333333333333333,33,insufficient
hybrid_plus_conservation,external_predictors_only,hybrid_plus_conservation,True,1,25,100,0,0,0,0,0,0,0,100,100,0,0,100,-0.850877192982456,-0.4276315789473684,-0.7314814814814815,26,insufficient
hybrid_plus_conservation_structure,external_predictors_only,hybrid_plus_conservation_structure,True,1,25,100,0,0,0,0,0,0,0,100,100,0,0,100,-0.850877192982456,-0.4075292397660819,-0.7222222222222223,26,insufficient
hybrid,external_predictors_only,hybrid,True,1,25,100,0,0,0,0,0,0,0,100,100,0,0,100,-1.0,-0.4075292397660819,-0.7777777777777778,26,insufficient
prime_only,external_predictors_only,prime_only,True,1,25,100,0,0,0,0,0,0,0,100,100,0,0,100,-1.0,-0.4258040935672515,-0.7870370370370371,26,insufficient
biochemical_only,external_predictors_only,biochemical_only,False,1,25,100,0,0,0,0,0,0,100,0,100,0,0,100,-0.7017543859649124,-0.27485380116959063,-0.6203703703703703,22,insufficient
