feature,importance_mean,importance_std
gene,0.07412668001555765,0.009886407633803579
prime_mod_30_transition,0.03414194961033713,0.005835788488308242
conservative_class_change,0.031462567884872936,0.0060748125213021704
prime_sophie_transition,0.031049136403578193,0.004744166586439302
prime_sophie_germain_ref,0.029778590875696766,0.004645667791156075
hydro_class_ref,0.02505005834137618,0.004987433537492887
prime_is_increase,0.02492689321367344,0.003844731751874186
aa_ref,0.024661115832841064,0.002210619937997613
prime_twin_alt,0.01610005906164007,0.005012818467796935
charge_abs_diff,0.01588037857070821,0.004448289230999325
mass_ref,0.014435529177890682,0.0033336577415199182
position,0.01281133407280417,0.0022148163086903178
aa_alt,0.012038490903066778,0.0017289550592125846
prime_mod_6_ref,0.01196862530431142,0.0020112214955306886
prime_gap_before_ref,0.011444273181693687,0.002005723410141813
