feature,importance_mean,importance_std
prime_mod_30_transition,0.06769832466615769,0.013048133970569416
prime_local_density_ref,0.06263090796467828,0.008680273147587089
prime_gap_before_ref,0.037302107492185134,0.0058977571780008745
prime_local_density_delta,0.030108831875999397,0.007575369111793116
prime_sophie_germain_alt,0.028320416600642516,0.003767892990379754
prime_sophie_germain_ref,0.02690113657644163,0.005502208546350408
prime_log_ratio,0.025575130727898722,0.005501247784531098
prime_twin_alt,0.02241461271409847,0.009437481095928218
codon_count_diff,0.020511315345942794,0.004071094527941049
prime_ratio,0.02011697085812243,0.005514937772522173
mass_prime_transition,0.017005430789841392,0.004401067666545378
prime_neighbor_asymmetry_ref,0.015175960471916928,0.003903624710723409
codon_count_ref,0.015057477059594659,0.003596638889894927
prime_is_increase,0.014597588556447095,0.00464334068283754
prime_gap_span_alt,0.010471916910355983,0.006778717313747103
