feature,importance_mean,importance_std
gene,0.0741101139457498,0.009881603960758344
prime_mod_30_transition,0.03412682406833871,0.0058334435102035944
conservative_class_change,0.03143231680087588,0.006071183024076717
prime_sophie_transition,0.03090724441435345,0.004709334652387191
prime_sophie_germain_ref,0.030087584090810915,0.0046598670537881135
hydro_class_ref,0.02498883590947727,0.004971150851797416
prime_is_increase,0.02494273901957681,0.0038284204881250455
aa_ref,0.02464022817960502,0.002185081738712993
prime_twin_alt,0.015841484319854847,0.004965524851268798
charge_abs_diff,0.01583932352814078,0.004448101053176135
mass_ref,0.014463619470173928,0.0033459207526069655
position,0.012825019086993494,0.002212702882158819
aa_alt,0.012036330111352822,0.0017368621577886132
prime_mod_6_ref,0.011887235483081016,0.0020225856890105152
prime_gap_before_ref,0.01147308373788165,0.0020076365067806246
