feature,importance_mean,importance_std
gene,0.08582952793903684,0.010531817035186224
conservative_class_change,0.033712672323139146,0.006152381283677771
prime_mod_30_transition,0.03363992566876497,0.006053025391134963
prime_sophie_transition,0.030570160906956266,0.004585195774447956
prime_sophie_germain_ref,0.028681628948846828,0.004372599252554623
prime_is_increase,0.02612181103156187,0.003914247069902778
aa_ref,0.025368414987251266,0.0025107152758217523
hydro_class_ref,0.024938417436148552,0.0049418819756490906
position,0.018444518071421324,0.0023906839335244272
charge_abs_diff,0.01782221005776514,0.004376417606615217
prime_twin_alt,0.01632190034428611,0.005166040273626291
mass_ref,0.01566862098272802,0.003367172049990488
prime_mod_6_ref,0.012386378369034367,0.0019122268757922364
aa_alt,0.011781356689090828,0.0016227405108105474
prime_gap_before_ref,0.011290856969993768,0.0019896453083523592
