experiment,baseline_experiment,feature_set,is_prime_signal,n_external_cohorts,n_variants,pooled_auc_roc_supported,pooled_auc_roc_positive,pooled_auc_roc_confidence_percent,pooled_auc_roc_delta_mean,pooled_auc_roc_ci_lower_95,pooled_auc_roc_ci_upper_95,pooled_auc_pr_supported,pooled_auc_pr_positive,pooled_auc_pr_confidence_percent,pooled_auc_pr_delta_mean,pooled_auc_pr_ci_lower_95,pooled_auc_pr_ci_upper_95,pooled_cross_metric_supported,pooled_cross_metric_positive,pooled_cross_metric_confidence_percent
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,4,836,True,True,100,0.2200777486753372,0.16237217505619791,0.28416952673410395,True,True,100,0.25389807505560674,0.1883599923380238,0.32493155566213683,True,True,100
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,4,836,True,True,100,0.2178311907915864,0.16162554692517672,0.28169381221901096,True,True,100,0.24110894606658675,0.17708082171125253,0.312375479835198,True,True,100
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,4,836,True,True,100,0.22101088330924856,0.16363512062459862,0.2843737455844574,True,True,100,0.25227653033889075,0.18275649611306796,0.3283925395689182,True,True,100
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,4,836,True,True,100,0.21605744721419398,0.15888264189948617,0.27999759152215786,True,True,100,0.23817115484019977,0.17435224034376065,0.3109981482829885,True,True,100
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,4,836,True,True,100,0.21605744721419398,0.15888264189948617,0.27999759152215786,True,True,100,0.23817115484019977,0.17435224034376065,0.3109981482829885,True,True,100
hybrid_plus_conservation_structure__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation_structure,True,4,836,True,True,100,0.21605983060372513,0.15892203054752738,0.27999759152215786,True,True,100,0.23826547098532916,0.17435716539575744,0.3113908531904107,True,True,100
hybrid_plus_external__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_external,True,4,836,True,True,100,0.21946401332691073,0.16402235870263335,0.2826454118497109,True,True,100,0.2340638704194599,0.17498808437413282,0.3079670270436928,True,True,100
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,4,836,True,True,100,0.08326827934328838,0.019164208012202956,0.1506956988599872,True,True,100,0.08169626923880262,0.03768080493071034,0.13011832633335657,True,True,100
