experiment,baseline_experiment,feature_set,is_prime_signal,cohort,is_high_confidence_clinical_cohort,metric,candidate_value,baseline_value,delta_value,win,no_regression,substantial_loss
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca1,True,auc_roc,0.753623188405797,0.7419216317767042,0.01170155662909278,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca1,True,auc_pr,0.6495695399548338,0.5879490534893914,0.06162048646544238,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca1,True,mcc,0.3350899487423118,0.06200865735715771,0.2730812913851541,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca2,True,auc_roc,0.7709276018099547,0.6515837104072398,0.11934389140271484,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca2,True,auc_pr,0.5262120463211216,0.2709036110182074,0.2553084353029142,True,True,False
hybrid__logistic_regression,external_predictors_only__logistic_regression,hybrid,True,clinvar_expert_external_validation_brca2,True,mcc,0.37311463046757165,0.08684168428648435,0.2862729461810873,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca1,False,auc_roc,0.5503725299643667,0.5903790087463556,-0.04000647878198893,False,False,True
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca1,False,auc_pr,0.16928443382560593,0.17824207440444303,-0.008957640578837106,False,False,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca1,False,mcc,0.018080492721836983,0.09234734153247869,-0.0742668488106417,False,False,True
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca2,False,auc_roc,0.7508515815085158,0.278345498783455,0.47250608272506084,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca2,False,auc_pr,0.15387069170403503,0.04124243893526938,0.11262825276876565,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,bridges_like_external_validation_brca2,False,mcc,0.1612225335927086,-0.14225790931127463,0.30348044290398324,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca1,True,auc_roc,0.753623188405797,0.7419216317767042,0.01170155662909278,True,True,False
