feature,importance_mean,importance_std
aa_ref,0.09530027802186723,0.00893281623435988
gene,0.07695155504977028,0.010702360521073855
class_group_ref,0.035297252913467504,0.007013588920417688
aa_alt,0.026668491335225253,0.003360312029740261
hydro_diff,0.023289013094397803,0.004836271723642369
hydro_class_ref,0.019972197813278792,0.003976773223251108
mass_prime_transition,0.017760987625866143,0.00474988073434382
class_group_alt,0.016993906567366324,0.004190407499140357
hydro_alt,0.014285714285714313,0.0049387337857900795
position,0.01254123510854378,0.002136535248121878
mass_ref,0.01163082153300966,0.0029610570349499744
conservative_class_change,0.010301934628847986,0.003051553484742831
hydro_class_transition,0.009135827367147364,0.0028519398435247734
hydro_abs_diff,0.006959910111064715,0.0026944629846348553
aromatic_switch,0.005213270142180082,0.0020474020619166487
