cohort,cohort_role,evaluation_group,experiment,feature_set,model_family,is_primary_experiment,n_features,auc_roc,auc_pr,accuracy,sensitivity,specificity,mcc,precision_at_0_5,recall_at_0_5,tp,fp,fn,tn,n_variants
clinvar_expert_external_validation_brca2,external_test,BRCA2,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.7709276018099547,0.5262120463211216,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,BRCA2,consensus_top3,consensus,ensemble_mean,0,3,0.7664027149321267,0.5222227345372227,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,BRCA2,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.7624434389140272,0.4667915112448001,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,BRCA2,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.6998491704374057,0.5100169074867793,0.68,0.5128205128205128,0.7279411764705882,0.21380148042918315,0.3508771929824561,0.5128205128205128,20,37,19,99,175
clinvar_expert_external_validation_brca2,external_test,BRCA2,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.6515837104072398,0.2709036110182074,0.6514285714285715,0.358974358974359,0.7352941176470589,0.08684168428648435,0.28,0.358974358974359,14,36,25,100,175
clinvar_expert_external_validation_brca2,external_test,BRCA2,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.6381033182503771,0.30588142719741307,0.6342857142857142,0.5384615384615384,0.6617647058823529,0.17142473230689767,0.31343283582089554,0.5384615384615384,21,46,18,90,175
clinvar_expert_external_validation_brca2,external_test,combined,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.776395173453997,0.5427379652878778,0.8,0.5384615384615384,0.875,0.41733498418122483,0.5526315789473685,0.5384615384615384,21,17,18,119,175
clinvar_expert_external_validation_brca2,external_test,combined,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.7711161387631976,0.5287761488852242,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,combined,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.7709276018099547,0.5262120463211216,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,combined,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.7709276018099547,0.5262120463211216,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,combined,consensus_top3,consensus,ensemble_mean,0,3,0.7664027149321267,0.5222227345372227,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,combined,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.7624434389140272,0.4667915112448001,0.7828571428571428,0.5128205128205128,0.8602941176470589,0.37311463046757165,0.5128205128205128,0.5128205128205128,20,19,19,117,175
clinvar_expert_external_validation_brca2,external_test,combined,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.6998491704374057,0.5100169074867793,0.68,0.5128205128205128,0.7279411764705882,0.21380148042918315,0.3508771929824561,0.5128205128205128,20,37,19,99,175
clinvar_expert_external_validation_brca2,external_test,combined,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.6515837104072398,0.2709036110182074,0.6514285714285715,0.358974358974359,0.7352941176470589,0.08684168428648435,0.28,0.358974358974359,14,36,25,100,175
clinvar_expert_external_validation_brca2,external_test,combined,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.6381033182503771,0.30588142719741307,0.6342857142857142,0.5384615384615384,0.6617647058823529,0.17142473230689767,0.31343283582089554,0.5384615384615384,21,46,18,90,175
bridges_like_external_validation_brca1,external_test,BRCA1,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.5903790087463556,0.17824207440444303,0.8095238095238095,0.19047619047619047,0.8979591836734694,0.09234734153247869,0.21052631578947367,0.19047619047619047,4,15,17,132,168
bridges_like_external_validation_brca1,external_test,BRCA1,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.5863297700032394,0.14994246672909636,0.6904761904761905,0.2857142857142857,0.7482993197278912,0.025776963111323353,0.13953488372093023,0.2857142857142857,6,37,15,110,168
bridges_like_external_validation_brca1,external_test,BRCA1,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.5730482669258179,0.16742398119135238,0.5952380952380952,0.5238095238095238,0.6054421768707483,0.0868885276965171,0.15942028985507245,0.5238095238095238,11,58,10,89,168
bridges_like_external_validation_brca1,external_test,BRCA1,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.5562034337544541,0.17111457570808009,0.5595238095238095,0.42857142857142855,0.5782312925170068,0.0045544499986024155,0.1267605633802817,0.42857142857142855,9,62,12,85,168
bridges_like_external_validation_brca1,external_test,BRCA1,consensus_top3,consensus,ensemble_mean,0,3,0.5519922254616132,0.16942742251752685,0.5535714285714286,0.47619047619047616,0.564625850340136,0.027190828690444133,0.13513513513513514,0.47619047619047616,10,64,11,83,168
bridges_like_external_validation_brca1,external_test,BRCA1,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.5503725299643667,0.16928443382560593,0.5416666666666666,0.47619047619047616,0.5510204081632653,0.018080492721836983,0.13157894736842105,0.47619047619047616,10,66,11,81,168
bridges_like_external_validation_brca1,external_test,BRCA1,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.5503725299643667,0.16928443382560593,0.5416666666666666,0.47619047619047616,0.5510204081632653,0.018080492721836983,0.13157894736842105,0.47619047619047616,10,66,11,81,168
bridges_like_external_validation_brca1,external_test,BRCA1,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.5503725299643667,0.16928443382560593,0.5416666666666666,0.47619047619047616,0.5510204081632653,0.018080492721836983,0.13157894736842105,0.47619047619047616,10,66,11,81,168
bridges_like_external_validation_brca1,external_test,BRCA1,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.49643666990605767,0.14369474011111316,0.6369047619047619,0.3333333333333333,0.6802721088435374,0.009634555216934666,0.12962962962962962,0.3333333333333333,7,47,14,100,168
bridges_like_external_validation_brca1,external_test,combined,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.5903790087463556,0.17824207440444303,0.8095238095238095,0.19047619047619047,0.8979591836734694,0.09234734153247869,0.21052631578947367,0.19047619047619047,4,15,17,132,168
bridges_like_external_validation_brca1,external_test,combined,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.5863297700032394,0.14994246672909636,0.6904761904761905,0.2857142857142857,0.7482993197278912,0.025776963111323353,0.13953488372093023,0.2857142857142857,6,37,15,110,168
bridges_like_external_validation_brca1,external_test,combined,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.5730482669258179,0.16742398119135238,0.5952380952380952,0.5238095238095238,0.6054421768707483,0.0868885276965171,0.15942028985507245,0.5238095238095238,11,58,10,89,168
bridges_like_external_validation_brca1,external_test,combined,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.5562034337544541,0.17111457570808009,0.5595238095238095,0.42857142857142855,0.5782312925170068,0.0045544499986024155,0.1267605633802817,0.42857142857142855,9,62,12,85,168
bridges_like_external_validation_brca1,external_test,combined,consensus_top3,consensus,ensemble_mean,0,3,0.5519922254616132,0.16942742251752685,0.5535714285714286,0.47619047619047616,0.564625850340136,0.027190828690444133,0.13513513513513514,0.47619047619047616,10,64,11,83,168
bridges_like_external_validation_brca1,external_test,combined,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.5503725299643667,0.16928443382560593,0.5416666666666666,0.47619047619047616,0.5510204081632653,0.018080492721836983,0.13157894736842105,0.47619047619047616,10,66,11,81,168
bridges_like_external_validation_brca1,external_test,combined,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.5503725299643667,0.16928443382560593,0.5416666666666666,0.47619047619047616,0.5510204081632653,0.018080492721836983,0.13157894736842105,0.47619047619047616,10,66,11,81,168
bridges_like_external_validation_brca1,external_test,combined,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.5503725299643667,0.16928443382560593,0.5416666666666666,0.47619047619047616,0.5510204081632653,0.018080492721836983,0.13157894736842105,0.47619047619047616,10,66,11,81,168
bridges_like_external_validation_brca1,external_test,combined,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.49643666990605767,0.14369474011111316,0.6369047619047619,0.3333333333333333,0.6802721088435374,0.009634555216934666,0.12962962962962962,0.3333333333333333,7,47,14,100,168
bridges_like_external_validation_brca2,external_test,BRCA2,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.7508515815085158,0.15387069170403503,0.8685121107266436,0.3333333333333333,0.8978102189781022,0.1612225335927086,0.15151515151515152,0.3333333333333333,5,28,10,246,289
bridges_like_external_validation_brca2,external_test,BRCA2,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.7508515815085158,0.15387069170403503,0.8685121107266436,0.3333333333333333,0.8978102189781022,0.1612225335927086,0.15151515151515152,0.3333333333333333,5,28,10,246,289
bridges_like_external_validation_brca2,external_test,BRCA2,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.7508515815085158,0.15387069170403503,0.8685121107266436,0.3333333333333333,0.8978102189781022,0.1612225335927086,0.15151515151515152,0.3333333333333333,5,28,10,246,289
bridges_like_external_validation_brca2,external_test,BRCA2,consensus_top3,consensus,ensemble_mean,0,3,0.7454987834549879,0.14813867740418019,0.8650519031141869,0.3333333333333333,0.8941605839416058,0.15663223724807285,0.14705882352941177,0.3333333333333333,5,29,10,245,289
bridges_like_external_validation_brca2,external_test,BRCA2,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.7386861313868613,0.16645740380173638,0.8477508650519031,0.26666666666666666,0.8795620437956204,0.09708506565355574,0.10810810810810811,0.26666666666666666,4,33,11,241,289
bridges_like_external_validation_brca2,external_test,BRCA2,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.7316301703163017,0.1392478861978139,0.8546712802768166,0.26666666666666666,0.8868613138686131,0.1043896803691688,0.11428571428571428,0.26666666666666666,4,31,11,243,289
bridges_like_external_validation_brca2,external_test,BRCA2,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.7102189781021898,0.11593516897936992,0.7612456747404844,0.5333333333333333,0.7737226277372263,0.15898910572265523,0.11428571428571428,0.5333333333333333,8,62,7,212,289
bridges_like_external_validation_brca2,external_test,BRCA2,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.544403892944039,0.0631176222239887,0.6539792387543253,0.3333333333333333,0.6715328467153284,0.0022979809129659292,0.05263157894736842,0.3333333333333333,5,90,10,184,289
bridges_like_external_validation_brca2,external_test,BRCA2,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.278345498783455,0.04124243893526938,0.6782006920415224,0.0,0.7153284671532847,-0.14225790931127463,0.0,0.0,0,78,15,196,289
bridges_like_external_validation_brca2,external_test,combined,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.7508515815085158,0.15387069170403503,0.8685121107266436,0.3333333333333333,0.8978102189781022,0.1612225335927086,0.15151515151515152,0.3333333333333333,5,28,10,246,289
bridges_like_external_validation_brca2,external_test,combined,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.7508515815085158,0.15387069170403503,0.8685121107266436,0.3333333333333333,0.8978102189781022,0.1612225335927086,0.15151515151515152,0.3333333333333333,5,28,10,246,289
bridges_like_external_validation_brca2,external_test,combined,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.7508515815085158,0.15387069170403503,0.8685121107266436,0.3333333333333333,0.8978102189781022,0.1612225335927086,0.15151515151515152,0.3333333333333333,5,28,10,246,289
bridges_like_external_validation_brca2,external_test,combined,consensus_top3,consensus,ensemble_mean,0,3,0.7454987834549879,0.14813867740418019,0.8650519031141869,0.3333333333333333,0.8941605839416058,0.15663223724807285,0.14705882352941177,0.3333333333333333,5,29,10,245,289
bridges_like_external_validation_brca2,external_test,combined,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.7386861313868613,0.16645740380173638,0.8477508650519031,0.26666666666666666,0.8795620437956204,0.09708506565355574,0.10810810810810811,0.26666666666666666,4,33,11,241,289
bridges_like_external_validation_brca2,external_test,combined,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.7316301703163017,0.1392478861978139,0.8546712802768166,0.26666666666666666,0.8868613138686131,0.1043896803691688,0.11428571428571428,0.26666666666666666,4,31,11,243,289
bridges_like_external_validation_brca2,external_test,combined,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.7102189781021898,0.11593516897936992,0.7612456747404844,0.5333333333333333,0.7737226277372263,0.15898910572265523,0.11428571428571428,0.5333333333333333,8,62,7,212,289
bridges_like_external_validation_brca2,external_test,combined,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.544403892944039,0.0631176222239887,0.6539792387543253,0.3333333333333333,0.6715328467153284,0.0022979809129659292,0.05263157894736842,0.3333333333333333,5,90,10,184,289
bridges_like_external_validation_brca2,external_test,combined,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.278345498783455,0.04124243893526938,0.6782006920415224,0.0,0.7153284671532847,-0.14225790931127463,0.0,0.0,0,78,15,196,289
