experiment,feature_set,model_family,is_primary_experiment,n_features,cv_folds,auc_roc,auc_pr,accuracy,sensitivity,specificity,mcc,precision_at_0_5,recall_at_0_5
biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,5,0.7508465393471488,0.3465795884759026,0.7585513078470825,0.6376811594202898,0.7780373831775701,0.3202557326963327,0.31654676258992803,0.6376811594202898
hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,5,0.7504740620344035,0.3426412706932111,0.7867203219315896,0.5797101449275363,0.8200934579439252,0.3258430064419502,0.3418803418803419,0.5797101449275363
hybrid__logistic_regression,hybrid,logistic_regression,0,72,5,0.74556413382094,0.3394208710076464,0.7826961770623743,0.5942028985507246,0.8130841121495327,0.32814091286081837,0.33884297520661155,0.5942028985507246
hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,5,0.74556413382094,0.3394208710076464,0.7826961770623743,0.5942028985507246,0.8130841121495327,0.32814091286081837,0.33884297520661155,0.5942028985507246
hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,5,0.7453609643776242,0.3390873731411834,0.7826961770623743,0.5942028985507246,0.8130841121495327,0.32814091286081837,0.33884297520661155,0.5942028985507246
prime_only__logistic_regression,prime_only,logistic_regression,0,46,5,0.7064032236218339,0.2476646825361588,0.6841046277665996,0.7391304347826086,0.6752336448598131,0.2948373790855272,0.26842105263157895,0.7391304347826086
external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,5,0.6170594609237436,0.2429304891336761,0.4507042253521127,0.6666666666666666,0.4158878504672897,0.05816254307350529,0.1554054054054054,0.6666666666666666
