feature,mean_abs_shap
esm2_llr,0.12892533609431509
in_critical_domain,0.04424150721447385
biochemical_severity_score,0.02827347257120425
gene_BRCA1,0.028108148842108775
in_functional_domain,0.0260009934445321
gene_BRCA2,0.02513454220940543
functional_domain_linker,0.022770157216296254
mass_abs_diff,0.019421890778880256
hydro_diff,0.018838220988529608
functional_domain_BRC_repeats,0.016594601345263974
hydro_abs_diff,0.013556510685418136
mass_ref,0.011536367187679008
mass_diff,0.010844528416888358
class_group_ref_polar,0.010655055374239606
hydro_ref,0.00883274538533402
