cohort_name,role,source_config,resolved_source_config,source_config_exists,integrated_rows,valid_rows,n_classes,prime_mode,public_catalog_readiness_percent,release_coverage_percent,schema_coverage_percent,sync_candidates,automatable_sources,semi_automatable_sources,manual_sources,cohort_ready,warning
public_brca_training,train,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\public_brca_training\resolved_source_config.toml,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\public_brca_training\resolved_source_config.toml,True,4,4,2,hybrid,72,45,100,3,2,1,0,True,
bridges_like_external_validation,external_test,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\bridges_like_external_validation\resolved_source_config.toml,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\bridges_like_external_validation\resolved_source_config.toml,True,4,4,2,hybrid,72,45,100,3,2,1,0,True,
