cohort,score_type,bin_index,bin_low,bin_high,n,mean_predicted,observed_rate,absolute_gap
bridges_like_external_validation_brca2,raw_candidate,2,0.1,0.2,74,0.14789921750225857,0.02702702702702703,0.12087219047523154
bridges_like_external_validation_brca2,raw_candidate,3,0.2,0.30000000000000004,35,0.2448900649970197,0.08571428571428572,0.159175779282734
bridges_like_external_validation_brca2,raw_candidate,4,0.30000000000000004,0.4,22,0.34889633248814067,0.0,0.34889633248814067
bridges_like_external_validation_brca2,raw_candidate,5,0.4,0.5,17,0.45204912116837964,0.23529411764705882,0.21675500352132082
bridges_like_external_validation_brca2,raw_candidate,6,0.5,0.6000000000000001,15,0.5514309005885387,0.06666666666666667,0.48476423392187207
bridges_like_external_validation_brca2,raw_candidate,7,0.6000000000000001,0.7000000000000001,5,0.6432168904934381,0.0,0.6432168904934381
bridges_like_external_validation_brca2,raw_candidate,8,0.7000000000000001,0.8,12,0.7470446489338866,0.25,0.49704464893388656
bridges_like_external_validation_brca2,raw_candidate,9,0.8,0.9,2,0.8346689349226428,0.0,0.8346689349226428
bridges_like_external_validation_brca2,raw_candidate,10,0.9,1.0,1,0.9246996945827816,0.0,0.9246996945827816
clinvar_expert_external_validation_brca1,baseline,1,0.0,0.1,5,0.01648203103924924,0.0,0.01648203103924924
clinvar_expert_external_validation_brca1,baseline,2,0.1,0.2,3,0.13706506032866542,0.0,0.13706506032866542
clinvar_expert_external_validation_brca1,baseline,3,0.2,0.30000000000000004,1,0.2115075567429231,0.0,0.2115075567429231
clinvar_expert_external_validation_brca1,baseline,4,0.30000000000000004,0.4,6,0.33491367488843843,0.0,0.33491367488843843
clinvar_expert_external_validation_brca1,baseline,5,0.4,0.5,157,0.4912187784599136,0.35668789808917195,0.13453088037074162
clinvar_expert_external_validation_brca1,baseline,6,0.5,0.6000000000000001,31,0.5265530485568769,0.3870967741935484,0.13945627436332853
clinvar_expert_external_validation_brca1,baseline,7,0.6000000000000001,0.7000000000000001,1,0.6271361325671923,1.0,0.37286386743280775
clinvar_expert_external_validation_brca1,baseline,8,0.7000000000000001,0.8,0,,,
clinvar_expert_external_validation_brca1,baseline,9,0.8,0.9,0,,,
clinvar_expert_external_validation_brca1,baseline,10,0.9,1.0,0,,,
clinvar_expert_external_validation_brca1,calibrated_candidate,1,0.0,0.1,36,0.040721430975098345,0.05555555555555555,0.014834124580457207
clinvar_expert_external_validation_brca1,calibrated_candidate,2,0.1,0.2,28,0.15771306173906394,0.25,0.09228693826093606
clinvar_expert_external_validation_brca1,calibrated_candidate,3,0.2,0.30000000000000004,31,0.24742134849086195,0.16129032258064516,0.08613102591021679
clinvar_expert_external_validation_brca1,calibrated_candidate,4,0.30000000000000004,0.4,27,0.3580371358680971,0.2962962962962963,0.06174083957180082
clinvar_expert_external_validation_brca1,calibrated_candidate,5,0.4,0.5,18,0.4576403734233339,0.4444444444444444,0.013195928978889493
clinvar_expert_external_validation_brca1,calibrated_candidate,6,0.5,0.6000000000000001,9,0.5538927562385791,0.2222222222222222,0.33167053401635693
clinvar_expert_external_validation_brca1,calibrated_candidate,7,0.6000000000000001,0.7000000000000001,12,0.6656226860084742,0.4166666666666667,0.2489560193418075
clinvar_expert_external_validation_brca1,calibrated_candidate,8,0.7000000000000001,0.8,16,0.7470379784344405,0.75,0.0029620215655594695
clinvar_expert_external_validation_brca1,calibrated_candidate,9,0.8,0.9,12,0.8591748150005286,0.5,0.3591748150005286
clinvar_expert_external_validation_brca1,calibrated_candidate,10,0.9,1.0,15,0.9571265764675464,0.9333333333333333,0.02379324313421305
clinvar_expert_external_validation_brca1,raw_candidate,1,0.0,0.1,21,0.040104109577281506,0.0,0.040104109577281506
clinvar_expert_external_validation_brca1,raw_candidate,2,0.1,0.2,15,0.13249587632820098,0.13333333333333333,0.0008374570051323527
clinvar_expert_external_validation_brca1,raw_candidate,3,0.2,0.30000000000000004,15,0.23663172487256698,0.26666666666666666,0.030034941794099684
clinvar_expert_external_validation_brca1,raw_candidate,4,0.30000000000000004,0.4,28,0.3459706400472156,0.21428571428571427,0.13168492576150134
clinvar_expert_external_validation_brca1,raw_candidate,5,0.4,0.5,21,0.44596895221893973,0.14285714285714285,0.3031118093617969
clinvar_expert_external_validation_brca1,raw_candidate,6,0.5,0.6000000000000001,24,0.5482981055466236,0.375,0.17329810554662362
clinvar_expert_external_validation_brca1,raw_candidate,7,0.6000000000000001,0.7000000000000001,17,0.6412222441326124,0.35294117647058826,0.28828106766202416
clinvar_expert_external_validation_brca1,raw_candidate,8,0.7000000000000001,0.8,13,0.744389777106375,0.38461538461538464,0.35977439249099036
clinvar_expert_external_validation_brca1,raw_candidate,9,0.8,0.9,23,0.8464359971958927,0.6086956521739131,0.2377403450219796
clinvar_expert_external_validation_brca1,raw_candidate,10,0.9,1.0,27,0.9551307701706861,0.7407407407407407,0.21439002942994545
clinvar_expert_external_validation_brca2,baseline,1,0.0,0.1,5,0.04468079448178412,0.0,0.04468079448178412
clinvar_expert_external_validation_brca2,baseline,2,0.1,0.2,1,0.1887841707684007,0.0,0.1887841707684007
clinvar_expert_external_validation_brca2,baseline,3,0.2,0.30000000000000004,2,0.21930572922854105,0.0,0.21930572922854105
clinvar_expert_external_validation_brca2,baseline,4,0.30000000000000004,0.4,12,0.3650106369659745,0.0,0.3650106369659745
clinvar_expert_external_validation_brca2,baseline,5,0.4,0.5,105,0.47535126428361574,0.23809523809523808,0.23725602618837766
clinvar_expert_external_validation_brca2,baseline,6,0.5,0.6000000000000001,44,0.5203472460326342,0.3181818181818182,0.20216542785081598
clinvar_expert_external_validation_brca2,baseline,7,0.6000000000000001,0.7000000000000001,6,0.6486544836336458,0.0,0.6486544836336458
clinvar_expert_external_validation_brca2,baseline,8,0.7000000000000001,0.8,0,,,
clinvar_expert_external_validation_brca2,baseline,9,0.8,0.9,0,,,
clinvar_expert_external_validation_brca2,baseline,10,0.9,1.0,0,,,
clinvar_expert_external_validation_brca2,calibrated_candidate,1,0.0,0.1,62,0.04579209579789498,0.06451612903225806,0.018724033234363086
clinvar_expert_external_validation_brca2,calibrated_candidate,2,0.1,0.2,46,0.1388101023710191,0.15217391304347827,0.013363810672459175
clinvar_expert_external_validation_brca2,calibrated_candidate,3,0.2,0.30000000000000004,17,0.24349727559849857,0.23529411764705882,0.008203157951439749
clinvar_expert_external_validation_brca2,calibrated_candidate,4,0.30000000000000004,0.4,11,0.3329233948921711,0.36363636363636365,0.030712968744192548
clinvar_expert_external_validation_brca2,calibrated_candidate,5,0.4,0.5,7,0.46982009353696486,0.2857142857142857,0.18410580782267916
clinvar_expert_external_validation_brca2,calibrated_candidate,6,0.5,0.6000000000000001,10,0.5510460033817953,0.5,0.051046003381795324
clinvar_expert_external_validation_brca2,calibrated_candidate,7,0.6000000000000001,0.7000000000000001,9,0.6503904441191926,0.6666666666666666,0.016276222547474073
clinvar_expert_external_validation_brca2,calibrated_candidate,8,0.7000000000000001,0.8,6,0.7368072762479545,0.8333333333333334,0.09652605708537887
clinvar_expert_external_validation_brca2,calibrated_candidate,9,0.8,0.9,3,0.8574839998669123,0.3333333333333333,0.5241506665335789
clinvar_expert_external_validation_brca2,calibrated_candidate,10,0.9,1.0,4,0.9434473825216917,0.25,0.6934473825216917
clinvar_expert_external_validation_brca2,raw_candidate,1,0.0,0.1,43,0.03931100766233111,0.06976744186046512,0.030456434198134007
clinvar_expert_external_validation_brca2,raw_candidate,2,0.1,0.2,50,0.14573779384059077,0.14,0.005737793840590755
clinvar_expert_external_validation_brca2,raw_candidate,3,0.2,0.30000000000000004,22,0.24180204293491067,0.09090909090909091,0.15089295202581976
clinvar_expert_external_validation_brca2,raw_candidate,4,0.30000000000000004,0.4,14,0.3442489486801543,0.2857142857142857,0.05853466296586862
clinvar_expert_external_validation_brca2,raw_candidate,5,0.4,0.5,7,0.4259740833743298,0.42857142857142855,0.002597345197098755
clinvar_expert_external_validation_brca2,raw_candidate,6,0.5,0.6000000000000001,9,0.5614767016429859,0.3333333333333333,0.2281433683096526
clinvar_expert_external_validation_brca2,raw_candidate,7,0.6000000000000001,0.7000000000000001,10,0.6510720297960964,0.5,0.15107202979609635
clinvar_expert_external_validation_brca2,raw_candidate,8,0.7000000000000001,0.8,11,0.7511506903150138,0.7272727272727273,0.02387796304228651
clinvar_expert_external_validation_brca2,raw_candidate,9,0.8,0.9,5,0.863528528734345,0.6,0.26352852873434507
clinvar_expert_external_validation_brca2,raw_candidate,10,0.9,1.0,4,0.9586302628839395,0.25,0.7086302628839395
