cohort_name,role,original_source_config,resolved_source_config_path,bootstrap_output_dir,n_public_sources,n_blocked_sources,public_resolution_percent,overall_resolution_percent,ready_for_resolved_config,ready_for_live_public_sources,mode_override,high_confidence_only_override,public_source_resolution_manifest_path
public_brca_training,train,C:\Users\Wesley Capucho\Documents\IA dos números primos\configs\public_brca_example.toml,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\public_brca_training\resolved_source_config.toml,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\cohorts\public_brca_training_ingestion,3,0,82,82,True,False,,,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\public_brca_training\public_source_resolution_manifest.json
bridges_like_external_validation,external_test,C:\Users\Wesley Capucho\Documents\IA dos números primos\configs\public_brca_external_example.toml,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\bridges_like_external_validation\resolved_source_config.toml,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\cohorts\bridges_like_external_validation_ingestion,3,0,82,82,True,False,,,C:\Users\Wesley Capucho\Documents\IA dos números primos\primevarclass_public_study_run_results\resolved_inputs\resolved_cohorts\bridges_like_external_validation\public_source_resolution_manifest.json
