cohort_name,cohort_role,source_name,kind,source_type,preset,recognized_public_source,resolved_path,path_exists,uses_example_path,uses_raw_data_path,release_value,has_placeholder_release,has_concrete_release,ready_for_real_data_source,source_real_data_percent,recommended_action
public_brca_training,train,clinvar_variant_summary,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\clinvar_variant_summary_like.tsv,True,True,False,,True,False,False,40,Substituir o arquivo de exemplo por um dataset publico real e versionado.
public_brca_training,train,gnomad_brca_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\gnomad_brca_annotations.tsv,True,True,False,,True,False,False,40,Substituir o arquivo de exemplo por um dataset publico real e versionado.
public_brca_training,train,mavedb_brca_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\mavedb_brca_scores.csv,True,True,False,,True,False,False,40,Substituir o arquivo de exemplo por um dataset publico real e versionado.
bridges_like_external_validation,external_test,bridges_like_validation,cohort,file,clinvar_variant_summary,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\bridges_like_brca_test.tsv,True,True,False,,True,False,False,40,Substituir o arquivo de exemplo por um dataset publico real e versionado.
bridges_like_external_validation,external_test,gnomad_validation_annotations,annotation,file,gnomad_variant_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\gnomad_brca_validation.tsv,True,True,False,,True,False,False,40,Substituir o arquivo de exemplo por um dataset publico real e versionado.
bridges_like_external_validation,external_test,mavedb_validation_scores,annotation,file,mavedb_score_table,True,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\mavedb_brca_validation.csv,True,True,False,,True,False,False,40,Substituir o arquivo de exemplo por um dataset publico real e versionado.
