task_id,priority,cohort_name,cohort_role,source_name,profile_id,task_type,owner_hint,blocking_reason,recommended_action,current_path,target_path,release_value,resolution_status
bridges_like_external_validation::bridges_like_validation::replace_example_source,critical,bridges_like_external_validation,external_test,bridges_like_validation,clinvar,replace_example_source,data_curation,Source still points to demo/example input.,Substituir o arquivo de exemplo por um dataset publico real e versionado.,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\bridges_like_brca_test.tsv,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\bridges_like_brca_test.tsv,,retained_existing_local_source
bridges_like_external_validation::gnomad_validation_annotations::replace_example_source,critical,bridges_like_external_validation,external_test,gnomad_validation_annotations,gnomad,replace_example_source,data_curation,Source still points to demo/example input.,Substituir o arquivo de exemplo por um dataset publico real e versionado.,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\gnomad_brca_validation.tsv,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\gnomad_brca_validation.tsv,,retained_existing_local_source
bridges_like_external_validation::mavedb_validation_scores::replace_example_source,critical,bridges_like_external_validation,external_test,mavedb_validation_scores,mavedb,replace_example_source,data_curation,Source still points to demo/example input.,Substituir o arquivo de exemplo por um dataset publico real e versionado.,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\mavedb_brca_validation.csv,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\mavedb_brca_validation.csv,,retained_existing_local_source
public_brca_training::clinvar_variant_summary::replace_example_source,critical,public_brca_training,train,clinvar_variant_summary,clinvar,replace_example_source,data_curation,Source still points to demo/example input.,Substituir o arquivo de exemplo por um dataset publico real e versionado.,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\clinvar_variant_summary_like.tsv,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\clinvar_variant_summary_like.tsv,,retained_existing_local_source
public_brca_training::gnomad_brca_annotations::replace_example_source,critical,public_brca_training,train,gnomad_brca_annotations,gnomad,replace_example_source,data_curation,Source still points to demo/example input.,Substituir o arquivo de exemplo por um dataset publico real e versionado.,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\gnomad_brca_annotations.tsv,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\gnomad_brca_annotations.tsv,,retained_existing_local_source
public_brca_training::mavedb_brca_scores::replace_example_source,critical,public_brca_training,train,mavedb_brca_scores,mavedb,replace_example_source,data_curation,Source still points to demo/example input.,Substituir o arquivo de exemplo por um dataset publico real e versionado.,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\mavedb_brca_scores.csv,C:\Users\Wesley Capucho\Documents\IA dos números primos\data\examples\mavedb_brca_scores.csv,,retained_existing_local_source
